
##

A/NA τ/Τ.υ/ωνιτι. n-3c(2)_a-2b Τραχωνῖτις τραχύς
A/NA/N .υς/εια n-1a_a-2b πλατεῖα πλατύς
A/NN .α/ος a-1a(1)_n-1a Γαλιλαῖος Γαλιλαία
A/NN .ο/αλι. n-3c(2)_n-2a μοιχαλίς μοιχός
A/NN/A .ο/. n-3c(2)_n-2a Ἑβραΐς Ἑβραῖος
A/NV .ομα/ε./νον n-2c_v-1b(3) πετεινόν πέτομαι

## adjective -> adjective

AA ./κ. a-1a(2a)_a-1a(1) Ἰουδαϊκός Ἰουδαῖος
AA ./αι. a-1a(1)_a-1a(1) δευτεραῖος δεύτερος
AA ./ικ. a-1a(2a)_None ἀνωτερικός ἀνώτερος
AA ./ικ. a-1a(2a)_a-1a(2a) διδακτικός διδακτός
AA ./ηκ.ς/ντα n-3g(2)_a-1a(2a) ὀγδοήκοντα ὄγδοος
AA ./τος a-1a(2a)_n-3g(2) δέκατος δέκα
AA ./τος a-1a(2a)_n-3g(2) δωδέκατος δώδεκα
AA ./λειο. a-1a(1)_a-1a(2a) μεγαλεῖος μέγας
AA ./τερο. a-1a(1)_a-1a(2a) περισσότερος περισσός
AA ./τριο. a-1a(1)_a-1a(2b) ἀλλότριος ἄλλος
AA .ε/./το. a-1a(2a)_a-4a τρίτος τρεῖς
AA .ν/μπ.ε/ος a-1a(2a)_n-3g(2) πέμπτος πέντε
AA .η/ινο. a-1a(2a)_a-4a ἀληθινός ἀληθής
AA .ο/ητη. n-1f_a-3a πλανήτης πλάνος
AA .ε/ηκοντα n-3g(2)_n-3g(2) πεντήκοντα πέντε
AA .π/βδομηκον. n-3g(2)_n-3g(2) ἑβδομήκοντα ἑπτά
AA .αρ/.ς/ρακοντα n-3g(2)_a-4b(2) τεσσεράκοντα τέσσαρες
AA .ων/ουσιος a-1a(1)_a-2a ἑκούσιος ἑκών
AA .γα/ιζοτερο. a-1a(1)_a-1a(2a) μειζότερος μέγας
AA .υς/λαπλασιων a-4b(1)_a-1a(2a) πολλαπλασίων πολύς
AA .κτω/γδοος a-1a(2a)_n-3g(2) ὄγδοος ὀκτώ
AA .πτα/βδομος a-1a(2a)_n-3g(2) ἕβδομος ἑπτά

## adverb -> adjective

AD ./ος a-1a(1)_adverb ἄρτιος ἄρτι
AD ./ος a-1a(1)_adverb παλαιός πάλαι
AD ./νος a-1a(2a)_adverb πρωϊνός πρωΐ
AD ./τερος None_adverb ἀνώτερος ἄνω
AD ./τερος a-1a(1)_adverb ἐξώτερος ἔξω
AD ./τερος a-1a(1)_adverb κατώτερος κάτω
AD .ε/./διος a-3a_adverb ἀΐδιος ἀεί
AD .ε/ιμος a-3a_adverb ὄψιμος ὀψέ
AD .ην/αιος a-1a(1)_adverb μάταιος μάτην

##

AP ./σσος a-1a(2a)_prep περισσός περί
ARP ./ματο. a-1a(2a)_a-1a(2b) αὐτόματος αὐτός
C/ADVRR/K .ο/ακι. adverb_a-1a(2a) ὁσάκις ὅσος

## adjective -> adverb

DA ./λω. adverb_a-1a(2a) μεγάλως μέγας
DA ./αχ.ς/υ adverb_a-1a(2b) ἀλλαχοῦ ἄλλος
DA ./αχ.ς/θεν adverb_a-1a(2b) ἀλλαχόθεν ἄλλος
DA ./κις adverb_n-3g(2) ἑπτάκις ἑπτά
DA ./ντω. adverb_a-2a πάντως πᾶς
DA .ε/. adverb_a-4a τρίς τρεῖς
