ἀβαρής a-4a -- M n-3d(2aA) ἀβαρ AS ἀβαρῆ ἀβαρ ῆ εσ+α
ἄβυσσος n-2b -- F n-2b ἀβυσσ GS ἀβύσσου ἀβύσσ ου ο+ιο
ἄβυσσος n-2b -- F n-2b ἀβυσσ AS ἄβυσσον ἄβυσσ ον ο+ν
ἀγαθοποιέω verb PA M n=3c(5b-OU) ἀγαθοποι NS ἀγαθοποιῶν ἀγαθοποι ῶν ουντ+
ἀγαθοποιέω verb PA M n=3c(5b-OU) ἀγαθοποι NP ἀγαθοποιοῦντες ἀγαθοποι οῦντες ουντ+ες
ἀγαθοποιέω verb PA M n=3c(5b-OU) ἀγαθοποι AP ἀγαθοποιοῦντας ἀγαθοποι οῦντας ουντ+ας
ἀγαθοποιέω verb PA F n-1c ἀγαθοποιουσ NP ἀγαθοποιοῦσαι ἀγαθοποιοῦσ αι α+ι
ἀγαθοποιΐα n-1a -- F n-1a ἀγαθοποιϊ DS ἀγαθοποιΐᾳ ἀγαθοποιΐ ᾳ α+ι
ἀγαθοποιός a-3a -- M n-2a ἀγαθοποι GP ἀγαθοποιῶν ἀγαθοποι ῶν +ων
ἀγαθός a-1a(2a) -- M n-2a ἀγαθ NS ἀγαθός ἀγαθ ός ο+ς
ἀγαθός a-1a(2a) -- M n-2a ἀγαθ GS ἀγαθοῦ ἀγαθ οῦ ο+ιο
ἀγαθός a-1a(2a) -- M n-2a ἀγαθ DS ἀγαθῷ ἀγαθ ῷ ο+ι
ἀγαθός a-1a(2a) -- M n-2a ἀγαθ AS ἀγαθόν ἀγαθ όν ο+ν
ἀγαθός a-1a(2a) -- M n-2a ἀγαθ VS ἀγαθέ ἀγαθ έ ε+
ἀγαθός a-1a(2a) -- M n-2a ἀγαθ GP ἀγαθῶν ἀγαθ ῶν +ων
ἀγαθός a-1a(2a) -- M n-2a ἀγαθ DP ἀγαθοῖς ἀγαθ οῖς ο+ις
ἀγαθός a-1a(2a) -- M n-2a ἀγαθ AP ἀγαθούς ἀγαθ ούς ο+νς
ἀγαθός a-1a(2a) -- F n-1b ἀγαθ NS ἀγαθή ἀγαθ ή η+
ἀγαθός a-1a(2a) -- F n-1b ἀγαθ GS ἀγαθῆς ἀγαθ ῆς η+ς
