# @@@    : I don't know what to do here.
# note.1 : I've kept the ending of the compound verb against the etymologies.
#          e.g. ἀναβάλλομαι is ἀνά+βάλλομαι not ἀνά+βάλλω
# note.2 : The etymologies I've looked at don't given the immediate analysis so
#          I've inferred it.
#          e.g. ἀναλογίζομαι is ἀνά+λογίζομαι not ἀνά+λογία (or similar)
# note.3 : I break down all preverbs individually.
# note.4 : How to handle ambiguity?
#          e.g. σύνειμι could be σύν+εἰμί or σύν+εἶμι
# note.5 : augments as καθίζω not κατά+ἵζω
# note.6 : augments as διά+ἀνοίγω not διά+ἀνά+οἴγω

ἀμφιάζω|@@@
ἀμφιβάλλω|ἀμφί+βάλλω
ἀναβαίνω|ἀνά+βαίνω
ἀναβάλλομαι|ἀνά+βάλλομαι # note.1
ἀναβιβάζω|ἀνά+βιβάζω
ἀναβλέπω|ἀνά+βλέπω
ἀναβοάω|ἀνά+βοάω
ἀναγγέλλω|ἀνά+ἀγγέλλω
ἀναγεννάω|ἀνά+γεννάω
ἀναγινώσκω|ἀνά+γινώσκω
ἀναγνωρίζομαι|ἀνά+γνωρίζομαι
ἀνάγω|ἀνά+ἄγω
ἀναδείκνυμι|ἀνά+δείκνυμι
ἀναδέχομαι|ἀνά+δέχομαι
ἀναδίδωμι|ἀνά+δίδωμι
ἀναζάω|ἀνά+ζάω
ἀναζητέω|ἀνά+ζητέω
ἀναζώννυμι|ἀνά+ζώννυμι
ἀναζωπυρέω|ἀνά+ζωπυρέω
ἀναθάλλω|ἀνά+θάλλω
ἀναθεματίζω|ἀνά+θεματίζω
ἀναθεωρέω|ἀνά+θεωρέω
ἀναιρέω|ἀνά+αἱρέω
ἀνακαθίζω|ἀνά+καθίζω # note.5
ἀνακαινίζω|ἀνά+καινίζω
ἀνακαινόω|ἀνά+καινόω
ἀνακαλύπτω|ἀνά+καλύτω
ἀνακάμπτω|ἀνά+κάμπτω
ἀνάκειμαι|ἀνά+κεῖμαι
ἀνακεφαλαιόω|ἀνά+κεφάλαιον
ἀνακλίνω|ἀνά+κλίνω
